timestamp,Temperature,Humidity,PM2.5
2019-01-01 01,7.88,88.82,271.75
2019-01-01 02,7.15,92.1,250.5
2019-01-01 03,7.13,94.5,237.0
2019-01-01 04,6.75,95.17,249.25
2019-01-01 05,6.07,96.62,261.0
2019-01-01 06,6.1,97.15,272.5
2019-01-01 07,6.13,97.17,285.25
2019-01-01 08,6.28,97.2,286.25
2019-01-01 09,8.93,96.6,325.25
2019-01-01 10,13.33,73.45,353.25
2019-01-01 11,16.7,57.95,391.5
2019-01-01 12,18.62,49.45,311.0
2019-01-01 13,20.83,36.85,287.0
2019-01-01 14,22.28,28.72,227.25
2019-01-01 15,21.55,28.67,153.5
2019-01-01 16,20.75,32.7,147.5
2019-01-01 17,18.27,42.73,149.75
2019-01-01 18,14.2,60.9,145.25
2019-01-01 19,12.12,73.07,181.25
2019-01-01 20,10.83,79.12,282.25
2019-01-01 21,12.12,76.0,341.25
2019-01-01 22,12.2,77.35,381.5
2019-01-01 23,11.22,79.93,365.5
2019-01-02 00,11.25,78.75,471.25
2019-01-02 01,11.4,76.25,451.25
2019-01-02 02,11.3,76.3,417.0
2019-01-02 03,11.17,75.32,383.0
2019-01-02 04,11.08,74.52,351.0
2019-01-02 05,9.27,84.77,349.25
2019-01-02 06,9.97,80.22,364.5
2019-01-02 07,9.45,82.65,374.5
2019-01-02 08,9.73,81.4,388.25
2019-01-02 09,11.35,74.8,412.5
2019-01-02 10,14.8,64.9,418.5
2019-01-02 11,18.68,50.45,385.5
2019-01-02 12,20.67,43.4,381.0
2019-01-02 13,22.3,34.55,259.0
2019-01-02 14,22.72,32.2,242.0
2019-01-02 15,22.95,33.1,193.25
2019-01-02 16,22.18,37.1,196.25
2019-01-02 17,19.55,49.57,200.25
2019-01-02 18,15.55,68.05,241.25
2019-01-02 19,13.95,76.77,227.25
2019-01-02 20,12.97,80.93,271.0
2019-01-02 21,12.15,85.88,419.5
2019-01-02 22,11.35,90.25,489.25
2019-01-02 23,10.73,93.5,504.75
2019-01-03 00,10.58,93.58,447.5
2019-01-03 01,9.72,95.18,425.25
2019-01-03 02,9.58,96.7,373.25
2019-01-03 03,9.82,97.17,352.5
2019-01-03 04,9.53,97.2,354.5
2019-01-03 05,9.15,97.2,335.5
2019-01-03 06,8.32,97.2,325.25
2019-01-03 07,8.18,97.2,323.5
2019-01-03 08,7.33,97.2,335.0
2019-01-03 09,7.6,97.2,279.5
2019-01-03 10,10.0,97.2,214.75
2019-01-03 11,13.67,84.65,321.0
2019-01-03 12,17.68,60.67,387.5
2019-01-03 13,19.9,50.8,405.75
2019-01-03 14,21.1,45.47,316.0
2019-01-03 15,21.35,37.73,274.75
2019-01-03 16,20.28,37.55,183.5
2019-01-03 17,17.53,53.43,165.0
2019-01-03 18,14.25,69.5,233.5
2019-01-03 19,12.48,80.68,293.0
2019-01-03 20,11.6,88.02,376.25
2019-01-03 21,10.83,94.02,388.25
2019-01-03 22,10.35,96.6,342.75
2019-01-03 23,9.85,97.2,314.75
2019-01-04 00,9.3,97.2,291.5
2019-01-04 01,8.45,97.2,277.0
2019-01-04 02,8.97,97.2,262.5
2019-01-04 03,9.1,97.2,209.75
2019-01-04 04,8.95,97.2,152.75
2019-01-04 05,8.78,97.2,144.25
2019-01-04 06,8.6,97.2,134.75
2019-01-04 07,8.63,97.2,123.5
2019-01-04 08,8.53,97.2,127.0
2019-01-04 09,8.78,97.2,122.0
2019-01-04 10,9.5,97.2,117.5
2019-01-04 11,13.03,82.62,132.0
2019-01-04 12,13.92,73.95,170.25
2019-01-04 13,15.08,68.72,195.5
2019-01-04 14,16.22,61.55,193.25
2019-01-04 15,16.05,59.62,186.75
2019-01-04 16,15.7,60.75,204.75
2019-01-04 17,14.73,72.05,213.5
2019-01-04 18,13.32,81.75,212.75
2019-01-04 19,12.33,87.47,237.25
2019-01-04 20,11.83,90.53,288.25
2019-01-04 21,12.1,89.22,428.0
2019-01-04 22,12.02,87.27,505.25
2019-01-04 23,10.95,90.4,494.0
2019-01-05 00,9.95,96.12,413.25
2019-01-05 01,9.83,97.2,319.25
2019-01-05 02,10.17,97.17,274.0
2019-01-05 03,9.95,96.6,264.75
2019-01-05 04,9.12,97.0,280.75
2019-01-05 05,8.57,97.2,303.0
2019-01-05 06,8.6,97.2,355.25
2019-01-05 07,8.8,97.2,463.25
2019-01-05 08,8.58,97.2,285.5
2019-01-05 09,8.35,97.2,269.0
2019-01-05 10,10.78,96.17,268.5
2019-01-05 11,15.22,76.22,308.75
2019-01-05 12,18.77,52.68,361.0
2019-01-05 13,20.18,37.03,344.0
2019-01-05 14,20.8,31.03,195.0
2019-01-05 15,20.92,32.33,123.5
2019-01-05 16,20.28,34.1,136.75
2019-01-05 17,18.72,43.05,120.75
2019-01-05 18,16.55,52.3,130.5
2019-01-05 19,15.6,54.08,141.75
2019-01-05 20,15.15,55.43,170.25
2019-01-05 21,14.33,60.93,211.25
2019-01-05 22,14.2,61.6,260.25
2019-01-05 23,13.05,68.3,261.0
2019-01-06 00,13.1,68.45,264.25
2019-01-06 01,12.67,71.25,271.25
2019-01-06 02,12.35,74.38,260.25
2019-01-06 03,12.4,74.17,261.0
2019-01-06 04,12.5,76.02,288.25
2019-01-06 05,12.9,80.67,258.75
2019-01-06 06,12.68,80.52,150.25
2019-01-06 07,12.35,80.7,93.5
2019-01-06 08,11.45,90.98,79.5
2019-01-06 09,11.3,95.65,74.0
2019-01-06 10,12.85,90.1,98.0
2019-01-06 11,16.85,69.8,134.5
2019-01-06 12,18.6,56.12,151.5
2019-01-06 13,19.6,46.93,110.25
2019-01-06 14,20.72,40.5,85.75
2019-01-06 15,20.9,39.0,78.75
2019-01-06 16,20.1,41.0,99.0
2019-01-06 17,18.12,53.08,100.25
2019-01-06 18,15.7,69.65,77.25
2019-01-06 19,14.77,76.6,99.0
2019-01-06 20,13.6,82.92,164.5
2019-01-06 21,11.97,91.88,174.5
2019-01-06 22,11.77,92.85,196.0
2019-01-06 23,11.52,92.83,226.0
2019-01-07 00,10.38,95.35,183.5
2019-01-07 01,10.18,96.85,161.25
2019-01-07 02,9.68,97.2,147.0
2019-01-07 03,9.88,97.2,128.5
2019-01-07 04,9.2,97.2,124.25
2019-01-07 05,9.35,97.2,115.25
2019-01-07 06,8.55,97.2,113.0
2019-01-07 07,8.0,97.2,118.0
2019-01-07 08,7.72,97.2,137.0
2019-01-07 09,9.47,97.2,147.5
2019-01-07 10,11.15,96.85,148.25
2019-01-07 11,14.6,78.97,204.0
2019-01-07 12,17.08,68.72,319.25
2019-01-07 13,19.02,59.0,292.25
2019-01-07 14,20.02,48.4,223.0
2019-01-07 15,20.12,44.83,127.25
2019-01-07 16,19.88,46.95,122.75
2019-01-07 17,18.1,53.67,133.75
2019-01-07 18,14.55,75.32,130.75
2019-01-07 19,12.9,85.12,142.25
2019-01-07 20,12.5,86.2,225.0
2019-01-07 21,12.12,86.53,288.25
2019-01-07 22,10.95,89.9,212.25
2019-01-07 23,10.23,93.9,210.5
2019-01-08 00,9.97,95.4,227.75
2019-01-08 01,9.5,96.78,156.75
2019-01-08 02,9.43,97.2,148.0
2019-01-08 03,9.15,97.2,156.25
2019-01-08 04,8.57,97.2,140.75
2019-01-08 05,8.73,97.2,133.75
2019-01-08 06,8.05,97.2,147.75
2019-01-08 07,8.4,97.2,140.25
2019-01-08 08,8.82,97.2,143.5
2019-01-08 09,9.93,97.2,143.25
2019-01-08 10,13.7,85.53,172.0
2019-01-08 11,16.92,66.3,167.25
2019-01-08 12,19.33,54.88,164.0
2019-01-08 13,19.82,47.0,132.25
2019-01-08 14,20.65,42.9,96.25
2019-01-08 15,20.67,42.15,79.75
2019-01-08 16,19.55,44.92,64.0
2019-01-08 17,17.17,54.45,66.5
2019-01-08 18,14.03,72.0,82.5
2019-01-08 19,12.25,80.67,119.25
2019-01-08 20,11.5,83.88,169.25
2019-01-08 21,10.85,86.65,215.5
2019-01-08 22,10.47,87.93,202.5
2019-01-08 23,10.05,90.62,194.0
2019-01-09 00,9.6,93.33,208.25
2019-01-09 01,9.12,95.67,175.25
2019-01-09 02,8.75,96.55,156.25
2019-01-09 03,8.35,97.1,136.0
2019-01-09 04,7.88,97.18,139.75
2019-01-09 05,7.55,97.18,129.0
2019-01-09 06,7.62,97.15,143.0
2019-01-09 07,7.12,97.18,145.0
2019-01-09 08,7.35,97.2,158.25
2019-01-09 09,10.43,86.8,152.5
2019-01-09 10,14.27,64.75,147.75
2019-01-09 11,17.5,49.28,130.25
2019-01-09 12,19.1,42.15,104.25
2019-01-09 13,20.03,37.5,92.25
2019-01-09 14,21.27,32.85,77.25
2019-01-09 15,21.38,30.55,62.75
2019-01-09 16,20.52,31.78,52.25
2019-01-09 17,18.08,42.25,51.25
2019-01-09 18,14.47,61.77,60.0
2019-01-09 19,11.95,75.88,89.75
2019-01-09 20,11.5,76.9,162.75
2019-01-09 21,11.25,76.8,233.75
2019-01-09 22,10.55,79.72,187.5
2019-01-09 23,9.43,84.92,191.0
2019-01-10 00,9.52,84.92,210.25
2019-01-10 01,9.35,85.33,226.0
2019-01-10 02,8.9,88.07,228.25
2019-01-10 03,8.3,91.58,208.5
2019-01-10 04,8.0,92.5,202.5
2019-01-10 05,7.53,93.6,184.25
2019-01-10 06,7.12,94.8,194.0
2019-01-10 07,6.6,95.3,184.25
2019-01-10 08,7.15,95.68,186.75
2019-01-10 09,11.22,79.6,211.0
2019-01-10 10,15.0,62.15,236.25
2019-01-10 11,16.95,55.08,213.5
2019-01-10 12,19.93,44.62,182.5
2019-01-10 13,21.15,38.1,149.25
2019-01-10 14,21.8,34.48,93.5
2019-01-10 15,22.3,32.05,77.5
2019-01-10 16,20.88,34.17,80.0
2019-01-10 17,18.75,40.12,79.75
2019-01-10 18,15.33,56.22,75.5
2019-01-10 19,12.8,70.95,111.25
2019-01-10 20,10.85,80.9,186.0
2019-01-10 21,10.05,84.18,228.75
2019-01-10 22,9.32,86.95,221.25
2019-01-10 23,8.52,91.3,282.5
2019-01-11 00,7.93,93.75,306.5
2019-01-11 01,7.38,95.58,282.75
2019-01-11 02,6.9,96.53,273.75
2019-01-11 03,6.83,97.2,345.5
2019-01-11 04,6.05,97.2,351.75
2019-01-11 05,6.33,97.2,309.25
2019-01-11 06,7.0,97.2,300.75
2019-01-11 07,5.95,97.2,297.0
2019-01-11 08,6.9,97.2,309.0
2019-01-11 09,10.28,90.08,355.5
2019-01-11 10,13.55,76.38,300.25
2019-01-11 11,17.35,60.8,291.5
2019-01-11 12,19.9,42.67,300.75
2019-01-11 13,21.97,29.25,220.25
2019-01-11 14,22.38,24.4,114.0
2019-01-11 15,21.67,29.2,87.25
2019-01-11 16,21.07,31.15,108.0
2019-01-11 17,19.15,39.82,117.25
2019-01-11 18,15.22,59.1,138.5
2019-01-11 19,12.95,68.72,171.25
2019-01-11 20,12.15,75.5,190.75
2019-01-11 21,10.88,82.4,292.75
2019-01-11 22,10.43,85.35,369.5
2019-01-11 23,10.1,87.55,394.25
2019-01-12 00,9.9,90.5,541.0
2019-01-12 01,10.4,88.65,545.25
2019-01-12 02,10.12,89.55,419.5
2019-01-12 03,10.08,90.52,381.0
2019-01-12 04,10.68,86.5,372.75
2019-01-12 05,10.2,87.2,353.5
2019-01-12 06,8.93,93.5,343.25
2019-01-12 07,8.32,95.5,337.5
2019-01-12 08,8.55,97.0,325.5
2019-01-12 09,11.73,88.2,355.0
2019-01-12 10,15.72,64.2,372.25
2019-01-12 11,18.6,50.48,379.75
2019-01-12 12,20.85,37.8,403.5
2019-01-12 13,21.73,34.62,282.0
2019-01-12 14,22.07,36.25,228.0
2019-01-12 15,22.05,33.72,275.5
2019-01-12 16,21.8,32.2,256.0
2019-01-12 17,19.88,36.28,218.0
2019-01-12 18,17.12,48.2,218.75
2019-01-12 19,14.95,60.5,224.5
2019-01-12 20,13.65,68.28,251.0
2019-01-12 21,12.82,74.1,324.0
2019-01-12 22,12.6,74.4,408.25
2019-01-12 23,11.45,83.28,442.5
2019-01-13 00,10.38,89.03,463.75
2019-01-13 01,10.52,89.85,471.75
2019-01-13 02,10.6,88.85,483.0
2019-01-13 03,12.95,76.6,475.75
2019-01-13 04,14.0,78.5,383.25
2019-01-13 05,13.85,79.88,239.5
2019-01-13 06,12.97,82.67,196.5
2019-01-13 07,13.35,80.82,188.25
2019-01-13 08,12.93,82.75,217.25
2019-01-13 09,14.0,77.5,231.0
2019-01-13 10,16.12,66.95,236.25
2019-01-13 11,19.48,48.88,241.0
2019-01-13 12,21.15,41.7,225.25
2019-01-13 13,22.67,39.23,191.75
2019-01-13 14,23.02,38.57,181.75
2019-01-13 15,22.95,38.3,186.75
2019-01-13 16,21.8,46.22,177.25
2019-01-13 17,19.55,59.9,188.75
2019-01-13 18,17.35,69.62,228.75
2019-01-13 19,16.93,70.12,252.75
2019-01-13 20,15.55,73.62,242.75
2019-01-13 21,14.98,73.35,188.5
2019-01-13 22,14.1,75.73,137.0
2019-01-13 23,13.35,79.05,132.75
2019-01-14 00,12.62,81.38,108.0
2019-01-14 01,11.5,85.65,93.5
