timestamp,Temperature,Humidity,PM2.5
2019-01-01 01,10.48,61.98,517.25
2019-01-01 02,9.9,64.73,531.25
2019-01-01 03,9.53,66.82,542.0
2019-01-01 04,9.2,68.33,547.5
2019-01-01 05,9.13,69.73,497.0
2019-01-01 06,8.83,70.3,467.5
2019-01-01 07,8.4,71.15,416.75
2019-01-01 08,8.67,71.9,417.0
2019-01-01 09,11.4,69.57,386.75
2019-01-01 10,15.15,58.35,346.25
2019-01-01 11,18.62,47.73,353.0
2019-01-01 12,20.7,39.77,315.5
2019-01-01 13,22.47,31.65,262.0
2019-01-01 14,23.28,25.95,183.25
2019-01-01 15,23.12,26.0,144.75
2019-01-01 16,22.2,27.13,137.75
2019-01-01 17,20.73,29.8,126.0
2019-01-01 18,18.1,35.28,156.0
2019-01-01 19,15.83,41.1,206.25
2019-01-01 20,14.38,48.22,300.75
2019-01-01 21,13.9,52.12,426.5
2019-01-01 22,13.3,56.23,603.0
2019-01-01 23,13.1,59.65,646.75
2019-01-02 00,12.58,62.8,594.75
2019-01-02 01,11.87,65.62,620.75
2019-01-02 02,11.7,68.1,548.25
2019-01-02 03,11.5,68.3,525.75
2019-01-02 04,11.35,68.32,607.75
2019-01-02 05,10.73,68.25,551.75
2019-01-02 06,10.32,69.1,478.75
2019-01-02 07,10.25,70.18,491.25
2019-01-02 08,10.53,71.15,538.0
2019-01-02 09,12.62,69.63,610.25
2019-01-02 10,16.0,58.95,505.5
2019-01-02 11,18.4,48.73,438.0
2019-01-02 12,20.4,41.48,351.25
2019-01-02 13,21.07,38.05,272.25
2019-01-02 14,22.15,34.58,232.25
2019-01-02 15,22.75,33.95,177.5
2019-01-02 16,22.37,35.15,166.75
2019-01-02 17,20.93,38.52,179.25
2019-01-02 18,19.4,42.95,197.25
2019-01-02 19,17.92,48.47,225.5
2019-01-02 20,16.33,54.5,285.25
2019-01-02 21,15.2,59.2,370.25
2019-01-02 22,14.38,62.55,456.75
2019-01-02 23,13.7,65.83,574.5
2019-01-03 00,13.0,68.17,638.5
2019-01-03 01,12.38,70.08,621.75
2019-01-03 02,11.83,71.77,604.25
2019-01-03 03,11.38,73.15,623.75
2019-01-03 04,10.82,74.0,653.25
2019-01-03 05,10.8,74.5,569.25
2019-01-03 06,10.75,74.52,484.5
2019-01-03 07,10.65,74.7,509.5
2019-01-03 08,11.1,74.75,494.25
2019-01-03 09,13.25,72.58,437.75
2019-01-03 10,16.77,62.87,479.25
2019-01-03 11,19.55,49.73,490.25
2019-01-03 12,21.32,41.02,450.25
2019-01-03 13,21.95,34.28,363.0
2019-01-03 14,22.03,31.75,237.0
2019-01-03 15,21.65,34.23,202.0
2019-01-03 16,21.15,32.12,212.25
2019-01-03 17,19.38,37.18,157.75
2019-01-03 18,17.33,44.65,186.75
2019-01-03 19,15.62,52.17,257.25
2019-01-03 20,14.92,57.08,346.25
2019-01-03 21,14.3,59.32,375.75
2019-01-03 22,13.47,64.23,381.5
2019-01-03 23,12.95,67.87,402.0
2019-01-04 00,12.48,69.6,369.75
2019-01-04 01,11.95,70.7,348.75
2019-01-04 02,11.42,72.85,353.5
2019-01-04 03,10.92,74.15,328.75
2019-01-04 04,10.0,74.55,313.75
2019-01-04 05,9.12,75.6,305.25
2019-01-04 06,8.63,76.9,260.75
2019-01-04 07,8.75,77.55,218.0
2019-01-04 08,8.78,77.8,198.5
2019-01-04 09,11.1,76.6,203.5
2019-01-04 10,14.28,69.32,232.0
2019-01-04 11,17.53,55.6,289.25
2019-01-04 12,16.78,50.05,277.75
2019-01-04 13,18.18,44.7,235.0
2019-01-04 14,18.03,43.05,189.75
2019-01-04 15,18.8,41.6,192.75
2019-01-04 16,17.58,44.7,210.5
2019-01-04 17,16.85,47.95,244.75
2019-01-04 18,15.75,50.55,289.5
2019-01-04 19,14.6,54.62,301.0
2019-01-04 20,14.17,57.4,333.25
2019-01-04 21,13.97,58.6,349.25
2019-01-04 22,13.67,60.53,408.5
2019-01-04 23,12.38,64.88,490.0
2019-01-05 00,11.3,69.95,432.75
2019-01-05 01,11.38,72.05,371.75
2019-01-05 02,11.0,72.58,351.5
2019-01-05 03,11.25,73.1,346.0
2019-01-05 04,11.1,73.35,344.5
2019-01-05 05,10.75,73.65,342.75
2019-01-05 06,10.53,74.52,317.5
2019-01-05 07,10.33,75.25,297.75
2019-01-05 08,10.42,75.57,302.0
2019-01-05 09,12.05,72.82,304.75
2019-01-05 10,14.22,65.48,268.0
2019-01-05 11,16.15,53.97,259.75
2019-01-05 12,17.75,45.32,221.25
2019-01-05 13,18.95,38.6,172.0
2019-01-05 14,19.97,36.32,146.0
2019-01-05 15,20.23,35.7,136.0
2019-01-05 16,19.92,35.75,119.75
2019-01-05 17,19.25,36.95,106.5
2019-01-05 18,17.97,41.38,108.5
2019-01-05 19,17.17,44.25,129.75
