timestamp,Temperature,Humidity,PM2.5
2019-01-01 01,9.38,87.0,689.5
2019-01-01 02,8.7,89.93,596.0
2019-01-01 03,8.38,92.65,524.5
2019-01-01 04,8.92,86.12,462.25
2019-01-01 05,8.2,89.32,370.5
2019-01-01 06,7.43,92.38,346.25
2019-01-01 07,7.35,94.23,353.75
2019-01-01 08,8.57,84.5,362.5
2019-01-01 09,11.0,72.95,358.75
2019-01-01 10,14.58,61.45,369.5
2019-01-01 11,18.17,49.47,355.0
2019-01-01 12,20.62,38.33,291.5
2019-01-01 13,22.42,30.2,203.75
2019-01-01 14,23.2,27.0,148.25
2019-01-01 15,23.35,25.95,107.25
2019-01-01 16,21.75,28.57,109.5
2019-01-01 17,19.4,35.0,149.5
2019-01-01 18,15.68,52.5,250.25
2019-01-01 19,13.17,64.05,563.0
2019-01-01 20,12.45,69.83,892.25
2019-01-01 21,12.18,74.0,
2019-01-01 22,11.92,79.23,777.5
2019-01-01 23,11.53,84.1,595.5
2019-01-02 00,11.42,86.6,635.5
2019-01-02 01,11.12,88.82,626.75
2019-01-02 02,10.72,91.9,475.0
2019-01-02 03,10.55,94.88,471.0
2019-01-02 04,10.45,94.68,408.75
2019-01-02 05,9.8,97.05,391.5
2019-01-02 06,9.27,98.68,389.75
2019-01-02 07,9.05,98.9,393.75
2019-01-02 08,9.47,98.88,411.75
2019-01-02 09,11.97,85.7,482.5
2019-01-02 10,15.05,65.88,395.75
2019-01-02 11,17.3,54.43,323.0
2019-01-02 12,19.07,46.4,290.75
2019-01-02 13,20.37,41.4,244.25
2019-01-02 14,21.33,38.07,225.25
2019-01-02 15,21.63,38.15,200.0
2019-01-02 16,21.77,37.57,189.0
2019-01-02 17,19.93,44.32,173.5
2019-01-02 18,16.25,64.48,240.75
2019-01-02 19,14.15,76.7,651.0
2019-01-02 20,13.15,85.95,
2019-01-02 21,12.65,90.38,
2019-01-02 22,12.35,92.12,917.5
2019-01-02 23,11.92,91.25,573.75
2019-01-03 00,11.53,92.4,475.0
2019-01-03 01,11.03,95.5,455.5
2019-01-03 02,10.58,98.0,471.0
2019-01-03 03,10.4,98.25,461.5
2019-01-03 04,10.25,96.35,414.25
2019-01-03 05,9.75,98.27,436.5
2019-01-03 06,9.9,98.3,516.5
2019-01-03 07,9.72,97.65,531.75
2019-01-03 08,9.9,98.0,548.5
2019-01-03 09,11.78,90.25,636.75
2019-01-03 10,15.05,72.45,611.0
2019-01-03 11,17.8,58.88,530.0
2019-01-03 12,20.27,48.25,498.75
2019-01-03 13,21.65,38.17,428.75
2019-01-03 14,21.68,35.88,317.0
2019-01-03 15,21.2,37.38,243.25
2019-01-03 16,20.05,37.65,207.5
2019-01-03 17,18.15,44.3,197.0
2019-01-03 18,16.25,52.73,210.25
2019-01-03 19,14.85,62.38,291.5
2019-01-03 20,13.92,68.68,418.5
2019-01-03 21,13.15,73.23,419.5
2019-01-03 22,12.58,80.75,398.5
2019-01-03 23,11.88,87.1,388.5
2019-01-04 00,11.1,91.45,368.0
2019-01-04 01,10.6,93.5,353.25
2019-01-04 02,10.15,96.0,339.75
2019-01-04 03,10.15,97.45,308.0
2019-01-04 04,9.5,98.05,262.0
